DA_Number,Detail_URL,Description,Submitted_Date,Decision,Categories,Property_Address,Applicant,Progress,Fees,Documents,Contact_Council
DA25/2240,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735136&propkey=23602," Alterations and Additions to dwelling house, construction of a garage and covered alfresco area", 08/10/2025,Approved on 25/11/2025,Development Application,"11 Waterhaven Av, BERRARA",Dianne Margaret Rice,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '02/10/2025|Development Application Received|2025-10-02||2025-10-02|Past']",$2379.56,"DA25/2240/1 Application - D M Rice - PAN-577979 - 11 Wate...
  *D25/444872 Report - Biodiversity Offsets Scheme - 11 Wat... 
  *D25/444860 Forms - Waste Management - 11 Waterhaven Aven... 
  *D25/444858 Certificate - BASIX - 11 Waterhaven Avenue B... 
  *D25/444874 Report - Statement of Environmental Effects -... 
  *D25/444870 Plans - Site - 11 Waterhaven Avenue BERRARA N... 
  *D25/444865 Plans - Notification - 11 Waterhaven Avenue B... 
  *D25/444871 Report - Geotechnical - 11 Waterhaven Avenue ... 
DA25/2240 D M Rice - PAN-577979 - 11 Waterhaven Avenue ...
DA25/2240/2 Notification / Submissions - D M Rice - PAN-5...
DA25/2240/5 Inspections - D M Rice - PAN-577979 - 11 Wate...
DA25/2240/6 Determination - D M Rice - PAN-577979 - 11 Wa...
  *D25/553649 Approved Plans (external) - DA2025 2240 - 11 ... 
  *D25/553624 Determination - DA2025 2240 - 11 Waterhaven A... 
DA25/2240/7 Post Determination - D M Rice - PAN-577979 - ...
DA25/2240/4 Assessment - D M Rice - PAN-577979 - 11 Water...
DA25/2240/8 Connected Documents - D M Rice - PAN-577979 -...
DA25/2240/3 Referrals - D M Rice - PAN-577979 - 11 Waterh...",Not required
DA25/2241,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735148&propkey=27773, Demolition of sheds and construction of a detached shed (171sqm), 08/10/2025,Approved on 10/12/2025,Development Application,"90 Lackersteen St, CALLALA BAY",Fernleigh Eaglesham Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '02/10/2025|Development Application Received|2025-10-02||2025-10-02|Past']",$1024.28,"DA25/2241 Fernleigh Eaglesham Pty Ltd - PAN-578039 - 90...
DA25/2241/2 Notification / Submissions - Fernleigh Eagles...
  *D25/517560 Submission - Mr Adam Coleman - PUBLIC - Submi... 
  *D25/543483 Submission - Ross Goddard - Fernleigh Eaglesh... 
DA25/2241/6 Determination - Fernleigh Eaglesham Pty Ltd -...
  *D25/567239 approved Plans - 90 Lackersteen St Callala Ba... 
  *D25/567241 approved WMP - 90 Lackersteen St Callala Bay 
  *D25/577774 DA2025 2241 Notice of Determination Consent ... 
DA25/2241/7 Post Determination - Fernleigh Eaglesham Pty ...
DA25/2241/3 Referrals - Fernleigh Eaglesham Pty Ltd - PAN...
DA25/2241/5 Inspections - Fernleigh Eaglesham Pty Ltd - P...
DA25/2241/1 Application - Fernleigh Eaglesham Pty Ltd - P...
  *D25/446755 Report - Shed Use - 90 Lackersteen Street CAL... 
  *D25/446740 Forms - Waste Management - 90 Lackersteen St... 
  *D25/446753 Report - Biodiversity Offset Scheme - 90 Lack... 
  *D25/451473 Plans - notification plans uploaded 09/10/20... 
  *D25/446754 Report - Statement of Environmental Effects -... 
DA25/2241/4 Assessment - Fernleigh Eaglesham Pty Ltd - PA...
DA25/2241/8 Connected Documents - Fernleigh Eaglesham Pty...",Not required
DA25/2247,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735219&propkey=1850, Alterations & additions to existing dwelling, 08/10/2025,AwaitInfo,Development Application,"84 River Rd, SHOALHAVEN HEADS",Chantelle Tolomeo,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '03/10/2025|Development Application Received|2025-10-03||2025-10-03|Past']",$1311.84,"DA25/2247 C Tolomeo - PAN-574115 - 84 River Road SHOALH...
DA25/2247/4 Assessment - C Tolomeo - PAN-574115 - 84 Rive...
DA25/2247/3 Referrals - C Tolomeo - PAN-574115 - 84 River...
DA25/2247/1 Application - C Tolomeo - PAN-574115 - 84 Riv...
  *D25/446975 Plans - Survey - 84 River Road SHOALHAVEN HEA... 
  *D25/446965 Certificate - BASIX - 84 River Road SHOALHAVE... 
  *D25/446980 Plans - Schedule of Colours, Materials and Fi... 
  *D25/446985 Report - Statement of Environmental Effects -... 
  *D25/446986 Report - Biodiversity Offset Scheme - 84 Rive... 
  *D25/446974 Plans - Notification - 84 River Road SHOALHA... 
  *D25/591264 AMENDED PLANS - Site - 84 River Rd Shoalhaven... 
  *D25/591280 AMENDED PLANS - North & East Elevations - 84 ... 
  *D25/591284 AMENDED PLANS - South & West Elevations - 84 ... 
DA25/2247/5 Inspections - C Tolomeo - PAN-574115 - 84 Riv...
DA25/2247/2 Notification / Submissions - C Tolomeo - PAN-...
  *D25/512910 Submission - Mrs Robyn Flack - PUBLIC - Submi... 
  *D25/512915 Submission - Mr Paul Flack - PUBLIC - Submiss... 
  *D25/512973 Submission - Attachment - Flack, Robyn - 84 R... 
  *D25/512976 Submission - Attachment - Mr Paul Flack - 84 ... 
  *D25/543489 Submission - Julie Bourke - C Tolomeo - PAN-5... 
DA25/2247/6 Determination - C Tolomeo - PAN-574115 - 84 R...
DA25/2247/7 Post Determination - C Tolomeo - PAN-574115 -...
DA25/2247/8 Connected Documents - C Tolomeo - PAN-574115 ...",Not required
DA25/2251,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735282&propkey=13205, Alteration and addition to a dwelling house including a boat garage, 08/10/2025,Approved on 11/11/2025,Development Application,"443 Elizabeth Dr, VINCENTIA",Peng Ly,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '04/10/2025|Development Application Received|2025-10-04||2025-10-04|Past']",$3477.52,"DA25/2251/2 Notification / Submissions - P Ly - PAN-57850...
DA25/2251/1 Application - P Ly - PAN-578504 - 443 Elizabe...
  *D25/447781 Forms - Waste Management - 443 Elizabeth Driv... 
  *D25/447798 Report - Bushfire Protection Assessment - 44... 
  *D25/447795 Report - Geotechnical - 443 Elizabeth Drive V... 
  *D25/447793 Report - Structural Engineers - 443 Elizabeth... 
  *D25/447779 Certificate - BASIX - 443 Elizabeth Drive VIN... 
  *D25/447801 Report - Biodiversity Offsets Scheme - 443 E... 
  *D25/447787 Plans - Notification - 443 Elizabeth Drive VI... 
  *D25/447786 Plans - Shadow Diagram - 443 Elizabeth Drive ... 
  *D25/447789 Plans - Site - 443 Elizabeth Drive VINCENTIA ... 
  *D25/447797 Report - Statement of Environmental Effects -... 
DA25/2251 P Ly - PAN-578504 - 443 Elizabeth Drive VINCE...
DA25/2251/5 Inspections - P Ly - PAN-578504 - 443 Elizabe...
DA25/2251/3 Referrals - P Ly - PAN-578504 - 443 Elizabeth...
  *D25/489952 Referral response - Endeavour Energy - Standa... 
  *D25/455866 Internal Referral - Building Surveyor - DA202... 
  *D25/523672 RFS Referral Response - 443 Elizabeth Drive V... 
DA25/2251/4 Assessment - P Ly - PAN-578504 - 443 Elizabet...
DA25/2251/7 Post Determination - P Ly - PAN-578504 - 443 ...
DA25/2251/8 Connected Documents - P Ly - PAN-578504 - 443...
DA25/2251/6 Determination - P Ly - PAN-578504 - 443 Eliza...
  *D25/531178 Notice of Determination - 443 Elizabeth Drive... 
  *D25/531669 Approved Plans (public view) - 443 Elizabeth ... ",Not required
DA25/2256,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735335&propkey=22225, Single dwelling house, 08/10/2025,Approved on 20/11/2025,Development Application,"12 Greenwell St, CURRARONG",McDonald Jones Homes Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '07/10/2025|Development Application Received|2025-10-07||2025-10-07|Past']",$2780.36,"DA25/2256 McDonald Jones Homes Pty Ltd - PAN-578735 - 1...
DA25/2256/3 Referrals - McDonald Jones Homes Pty Ltd - PA...
DA25/2256/6 Determination - McDonald Jones Homes Pty Ltd ...
  *D25/548339 Approved - Bushfire Assessment Report - DA202... 
  *D25/548346 Approved - BASIX Certificate - DA2025/2256 - ... 
  *D25/548359 Approved - Plans (Public view) - DA2025/2256 ... 
  *D25/548389 Notice of Determination - Approval- DA2025/22... 
DA25/2256/8 Connected Documents - McDonald Jones Homes Pt...
DA25/2256/2 Notification / Submissions - McDonald Jones H...
DA25/2256/7 Post Determination - McDonald Jones Homes Pty...
DA25/2256/1 Application - McDonald Jones Homes Pty Ltd - ...
  *D25/446634 Report - Energy Efficiency Assessment - 12 Gr... 
  *D25/446598 Certificate - BASIX - 12 Greenwell Street CU... 
  *D25/446637 Report - Waste Minimisation and Management -... 
  *D25/446632 Report - Biodiversity Offset Scheme (BOSET) -... 
  *D25/446629 Report - Statement of Environmental Effects -... 
  *D25/446614 Plans - Schedule of Colours, Materials and Fi... 
  *D25/446636 Report - Bushfire Report - 12 Greenwell Stree... 
  *D25/446624 Plans - Notification - 12 Greenwell Street C... 
DA25/2256/4 Assessment - McDonald Jones Homes Pty Ltd - P...
DA25/2256/5 Inspections - McDonald Jones Homes Pty Ltd - ...",Not required
DA25/2261,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735372&propkey=18622, Dwelling house and retaining wall, 08/10/2025,UnderAss,Development Application,"136 Matron Porter Dr, NARRAWALLEE",McDonald Jones Homes Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '07/10/2025|Development Application Received|2025-10-07||2025-10-07|Past']",$3554,"DA25/2261 McDonald Jones Homes Pty Ltd - PAN-578877 - 1...
DA25/2261/1 Application - McDonald Jones Homes Pty Ltd - ...
  *D25/447516 Plans - Landscape - 136 Matron Porter Drive ... 
  *D25/447519 Report - Energy Efficiency Assessment - 136 M... 
  *D25/447500 Certificate - BASIX - 136 Matron Porter Drive... 
  *D25/447502 Forms - Waste Minimisation and Management - ... 
  *D25/447521 Report - Biodiversity Offset Scheme - 136 Mat... 
  *D25/447510 Plans - Schedule of Colours, Materials and Fi... 
  *D25/447513 Plans - Site - 136 Matron Porter Drive NARRAW... 
  *D25/447517 Report - Statement of Environmental Effects -... 
  *D25/447512 Plans - Notification - V2 - Uploaded 08/10/25... 
DA25/2261/8 Connected Documents - McDonald Jones Homes Pt...
DA25/2261/2 Notification / Submissions - McDonald Jones H...
DA25/2261/7 Post Determination - McDonald Jones Homes Pty...
DA25/2261/4 Assessment - McDonald Jones Homes Pty Ltd - P...
DA25/2261/3 Referrals - McDonald Jones Homes Pty Ltd - PA...
DA25/2261/6 Determination - McDonald Jones Homes Pty Ltd ...
DA25/2261/5 Inspections - McDonald Jones Homes Pty Ltd - ...",Not required
MA25/1331,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735256&propkey=46035, S4.55(1A) to DA22/2089 - internal and external design changes, 08/10/2025,Approved on 17/10/2025,Modification Application,"161 Browns Mountain Rd, TAPITALLEE",Garsh Developments Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '03/10/2025|Modification Application Received|2025-10-03||2025-10-03|Past']",$796.38,"MA25/1331 Garsh Developments Pty Ltd - PAN-578386 - 161...
MA25/1331/4 Assessment - Garsh Developments Pty Ltd - PAN...
MA25/1331/3 Referrals - Garsh Developments Pty Ltd - PAN-...
MA25/1331/7 Post Determination - Garsh Developments Pty L...
MA25/1331/6 Determination - Garsh Developments Pty Ltd - ...
  *D25/455966 approved site plan - 161 Browns Mountain Rd T... 
  *D25/455968 approved plans - 161 Browns Mountain Rd Tapit... 
  *D25/460084 Consolidated Consent - 161 Browns ~ Garsh De... 
MA25/1331/8 Connected Documents - Garsh Developments Pty ...
MA25/1331/1 Application - Garsh Developments Pty Ltd - PA...
  *D25/447574 Certificate - BASIX - 161 Browns Mountain Roa... 
  *D25/447586 Plans - Notification - 161 Browns Mountain R... 
  *D25/447585 Plans - Site - 161 Browns Mountain Road TAPI... 
MA25/1331/5 Inspections - Garsh Developments Pty Ltd - PA...
MA25/1331/2 Notification / Submissions - Garsh Developmen...",Not required
DA25/2228,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=734996&propkey=2709, Alterations and additions to a dwelling house - construction of a deck and stairs, 09/10/2025,Approved on 18/11/2025,Development Application,"29 Brighton Pde, CULBURRA BEACH",Illawarra Design Company Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '01/10/2025|Development Application Received|2025-10-01||2025-10-01|Past']",$365,"DA25/2228/2 Notification / Submissions - Illawarra Design...
DA25/2228/5 Inspections - Illawarra Design Company Pty Lt...
DA25/2228 Illawarra Design Company Pty Ltd - PAN-577406...
DA25/2228/1 Application - Illawarra Design Company Pty Lt...
  *D25/448354 Report - Bushfire Assessment - 29 Brighton Pa... 
  *D25/448342 Forms - Waste Management - V3 - Uploaded 08/1... 
  *D25/448347 Plans - Notification - 29 Brighton Parade CUL... 
  *D25/448357 Report - Statement of Environmental Effects -... 
  *D25/448353 Plans - Site - V2 - Uploaded 07/10/25 - 29 Br... 
  *D25/448358 Report - Biodiversity Offset Scheme - 29 Brig... 
DA25/2228/6 Determination - Illawarra Design Company Pty ...
  *D25/510995 Approved Documents - Waste Management Plan - ... 
  *D25/511000 Approved Plans - General View - 29 BRIGHTON P... 
  *D25/511005 Notice of Determination - 29 BRIGHTON PARADE ... 
DA25/2228/4 Assessment - Illawarra Design Company Pty Ltd...
DA25/2228/8 Connected Documents - Illawarra Design Compan...
DA25/2228/7 Post Determination - Illawarra Design Company...
DA25/2228/3 Referrals - Illawarra Design Company Pty Ltd ...",Not required
DA25/2249,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735265&propkey=1002489, Commercial additions - Installation of fire water storage tanks and fire water pumps and associated works, 09/10/2025,Approved on 21/11/2025,Development Application,"1 Narang Rd, BOMADERRY",Milestone (Aust) Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '03/10/2025|Development Application Received|2025-10-03||2025-10-03|Past']",$2356.16,"DA25/2249/2 Notification / Submissions - Milestone (Aust...
DA25/2249/1 (06/10/2025) Application - Milestone (Aust) Pty Ltd - PAN-...
  *D25/448462 Plans - Waste Management - 1 Narang Road BOM... 
  *D25/448472 Report - Statement of Environmental Effects -... 
  *D25/448467 Report - Acoustic & Vibration Assessment - 1 ... 
  *D25/448470 Report - Bushfire Assessment - 1 Narang Road ... 
  *D25/448463 Plans - Soil and Erosion Control - 1 Narang ... 
  *D25/448465 Plans - Site, Architectural and Fire Engineer... 
DA25/2249 Milestone (Aust) Pty Ltd - PAN-578426 - 1 Nar...
DA25/2249/6 Determination - Milestone (Aust) Pty Ltd - PA...
  + D25/552999 Water Development Notice - DA25 2249 - N1 
  *D25/549090 Determination - Approval - 1 Narang Rd Bomade... 
  *D25/549256 Approved Plans - 1 Narang Rd Bomaderry - Lot ... 
DA25/2249/5 Inspections - Milestone (Aust) Pty Ltd - PAN-...
DA25/2249/4 Assessment - Milestone (Aust) Pty Ltd - PAN-5...
DA25/2249/7 Post Determination - Milestone (Aust) Pty Ltd...
DA25/2249/3 Referrals - Milestone (Aust) Pty Ltd - PAN-57...
  *D25/509549 Internal Referral - Environmental Health Offi... 
  *D25/509550 Internal Referral - Water Asset Planning & De... 
DA25/2249/8 Connected Documents - Milestone (Aust) Pty Lt...",Not required
DA25/2259,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735358&propkey=2483," Dwelling house, associated site works, landscaping and amenities", 10/10/2025,AwaitInfo,Development Application,"9 Foremans Rd, WOODHILL
Foremans Rd, WOODHILL",Clare Gilligan,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '07/10/2025|Development Application Received|2025-10-07||2025-10-07|Past']",$10734.64,"DA25/2259/3 Referrals - C Gilligan - PAN-573263 - 9 Forem...
DA25/2259/6 Determination - C Gilligan - PAN-573263 - 9 F...
DA25/2259/7 Post Determination - C Gilligan - PAN-573263 ...
DA25/2259/2 Notification / Submissions - C Gilligan - PAN...
  *D25/520865 Submission - Nicholas Jose - PUBLIC - Submiss... 
DA25/2259/1 Application - C Gilligan - PAN-573263 - 9 For...
  *D25/452943 Plans - Site - 9 Foremans Road WOODHILL NSW 2... 
  *D25/452956 Report - Bushfire Assessment - 9 Foremans Ro... 
  *D25/452955 Report - Wastewater Site and Soil Assessment ... 
  *D25/452937 Forms - Waste Management - 9 Foremans Road WO... 
  *D25/452928 Certificate - NatHERS - 9 Foremans Road WOODH... 
  *D25/452930 Certificate - BASIX - 9 Foremans Road WOODHI... 
  *D25/452958 Report - Biodiversity Offset Scheme - 9 Forem... 
  *D25/452948 Plans - Notification - V2 - Uploaded 10/10/25... 
  *D25/452946 Plans - Water Management - 9 Foremans Road W... 
  *D25/452952 Report - Statement of Environmental Effects -... 
DA25/2259/4 Assessment - C Gilligan - PAN-573263 - 9 Fore...
DA25/2259/5 Inspections - C Gilligan - PAN-573263 - 9 For...
DA25/2259 RFI reply & referrals pending C Gilligan - PA...
DA25/2259/8 Connected Documents - C Gilligan - PAN-573263...",Not required
DA25/2268,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735521&propkey=85259," Alterations and additions to dwelling, garage and outdoor area", 10/10/2025,AwaitInfo,Development Application,"489 Illaroo Rd, BANGALEE",Chris Williamson,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '08/10/2025|Development Application Received|2025-10-08||2025-10-08|Past']",$1709.18,"DA25/2268 C Williamson - PAN-579376 - 489 Illaroo Road ...
DA25/2268/2 Notification / Submissions - C Williamson - P...
DA25/2268/1 Application - C Williamson - PAN-579376 - 489...
  *D25/452454 Forms - Waste Management - 489 Illaroo Road B... 
  *D25/452451 Certificate - BASIX - 489 Illaroo Road BANGA... 
  *D25/452466 Plans - Site - V2 - Uploaded 08/10/25 - 489 I... 
  *D25/452471 Report - Biodiversity Offsets Scheme - 489 Il... 
  *D25/452468 Report - Statement of Environmental Effects -... 
  *D25/452464 Plans - Notification - V2 - Uploaded 10/10/25... 
DA25/2268/8 Connected Documents - C Williamson - PAN-5793...
DA25/2268/4 Assessment - C Williamson - PAN-579376 - 489 ...
DA25/2268/7 Post Determination - C Williamson - PAN-57937...
DA25/2268/3 Referrals - C Williamson - PAN-579376 - 489 I...
DA25/2268/6 Determination - C Williamson - PAN-579376 - 4...
DA25/2268/5 Inspections - C Williamson - PAN-579376 - 489...",Not required
DA25/2273,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735569&propkey=83062, Alterations and additions to a dwelling house and detached shed, 10/10/2025,Approved on 15/12/2025,Development Application,"140E Narrawallee Creek Rd, LAKE CONJOLA",Amanda Cherree McGoverne,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '09/10/2025|Development Application Received|2025-10-09||2025-10-09|Past']",$3116.72,"DA25/2273/2 Notification / Submissions - A C McGoverne - ...
DA25/2273/1 Application - A C McGoverne - PAN-579557 - 14...
  *D25/450744 Report - Shed Design Analysis - 140E Narrawal... 
  *D25/450739 Plans - Shed Engineering - 140E Narrawallee C... 
  *D25/450752 Report - Geotechnical - 140E Narrawallee Cree... 
  *D25/450737 Plans - Wastewater Management - 140E Narrawal... 
  *D25/450748 Report - Structural Engineers - V2 - 140E Nar... 
  *D25/450749 Report - Bushfire Hazard Assessment - 140E Na... 
  *D25/450727 Certificate - BASIX - 140E Narrawallee Creek ... 
  *D25/450751 Report - Variation Request - V2 - 140E Narraw... 
  *D25/450734 Plans - Statement of Environmental Effects - ... 
  *D25/450729 Forms - Waste Management - 140E Narrawallee ... 
  *D25/450750 Report - Biodiversity Offsets Scheme - 140E N... 
  *D25/450740 Plans - Site - 140E Narrawallee Creek Road L... 
  *D25/450738 Plans - Notification - 140E Narrawallee Creek... 
DA25/2273 A C McGoverne - PAN-579557 - 140E Narrawallee...
DA25/2273/3 Referrals - A C McGoverne - PAN-579557 - 140E...
DA25/2273/7 Post Determination - A C McGoverne - PAN-5795...
DA25/2273/6 Determination - A C McGoverne - PAN-579557 - ...
  *D25/585595 Approved External Plans - DA2025/2273 - Alter... 
  *D25/585600 Approved Statement of Environmental Effects -... 
  *D25/585608 Approved BASIX Certificate - DA2025/2273 - Al... 
  *D25/585681 Notice of Determination - Alterations and Add... 
DA25/2273/5 Inspections - A C McGoverne - PAN-579557 - 14...
DA25/2273/4 Assessment - A C McGoverne - PAN-579557 - 140...
DA25/2273/8 Connected Documents - A C McGoverne - PAN-579...",Not required
MA25/1332,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735352&propkey=23415, S4.55(1A) to DA2025/1109 - Internal and external changes, 10/10/2025,Approved on 13/11/2025,Modification Application,"17 Pope Av, BERRARA",Byron Clima,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '07/10/2025|Modification Application Received|2025-10-07||2025-10-07|Past']",$1334,"MA25/1332 B Clima - PAN-578807 - 17 Pope Avenue BERRARA...
MA25/1332/5 Inspections - B Clima - PAN-578807 - 17 Pope ...
MA25/1332/6 Determination - B Clima - PAN-578807 - 17 Pop...
  *D25/537377 Approved Plans (external) MA2025 1332 - 17 Po... 
  *D25/537363 Consolidated Consent - MA2025 1332 - 17 Pope ... 
MA25/1332/3 Referrals - B Clima - PAN-578807 - 17 Pope Av...
MA25/1332/8 Connected Documents - B Clima - PAN-578807 - ...
MA25/1332/2 Notification / Submissions - B Clima - PAN-57...
MA25/1332/4 Assessment - B Clima - PAN-578807 - 17 Pope A...
MA25/1332/1 Application - B Clima - PAN-578807 - 17 Pope ...
  *D25/450888 Forms - Waste Management - 17 Pope Avenue BE... 
  *D25/450903 Report - Statement of Environmental Effects -... 
  *D25/450882 Certificate - NatHERS - V4 - 17 Pope Avenue B... 
  *D25/450884 Certificate - BASIX - 17 Pope Avenue BERRARA... 
  *D25/450898 Plans - Notification - 17 Pope Avenue BERRARA... 
  *D25/450897 Letter - Cover Letter - V2 - 17 Pope Avenue B... 
MA25/1332/7 Post Determination - B Clima - PAN-578807 - 1...",Not required
MA25/1342,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735699&propkey=11718, S4.55(1a) to DA2024/1346 - Modify Condition 1 - Landscape Plan, 10/10/2025,Approved on 04/12/2025,Modification Application,"27 Ocean View Rd, SUSSEX INLET",Craig Anthony Coulston,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '10/10/2025|Modification Application Received|2025-10-10||2025-10-10|Past']",$914,"MA25/1342/5 Inspections - C A Coulston - PAN-580123 - 27 ...
MA25/1342/2 Notification / Submissions - C A Coulston - P...
MA25/1342/4 Assessment - C A Coulston - PAN-580123 - 27 O...
MA25/1342/3 Referrals - C A Coulston - PAN-580123 - 27 Oc...
MA25/1342/1 Application - C A Coulston - PAN-580123 - 27 ...
  *D25/450446 Certificate - BASIX - 27 Ocean View Road SUSS... 
  *D25/450460 Plans - Proposed Landscaping Modification - 2... 
  *D25/450461 Plans - Approved Concept Landscaping - 27 Oce... 
  *D25/450459 Plans - Site - 27 Ocean View Road SUSSEX INL... 
  *D25/450457 Forms - DA Modification Application Cover Let... 
MA25/1342 C A Coulston - PAN-580123 - 27 Ocean View Roa...
MA25/1342/6 Determination - C A Coulston - PAN-580123 - 2...
  *D25/568472 Stamped Plans - Full Set - MA2025/1342 - 27 O... 
  *D25/568550 Consolidated Consent - MA2025/1342 -27 Ocean ... 
MA25/1342/8 Connected Documents - C A Coulston - PAN-5801...
MA25/1342/7 Post Determination - C A Coulston - PAN-58012...",Not required
DA25/2272,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735561&propkey=74795," Alterations and additions to a dwelling house including a second storey addition, deck and concrete hardstand area", 12/10/2025,Approved on 28/11/2025,Development Application,"13 Aries Pl, NARRAWALLEE",Skye Frances Prior,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '09/10/2025|Development Application Received|2025-10-09||2025-10-09|Past']",$2412.32,"DA25/2272/1 Application - S F Prior - PAN-579534 - 13 Ari...
  *D25/452757 Report - Geotechnical - 13 Aries Place NARRAW... 
  *D25/452753 Report - Bushfire Assessment - 13 Aries Place... 
  *D25/452742 Forms - Waste Management - 13 Aries Place NAR... 
  *D25/452754 Report - Biodiversity Offsets Scheme - 13 Ari... 
  *D25/452740 Certificate - BASIX - 13 Aries Place NARRAWA... 
  *D25/452750 Plans - Site - 13 Aries Place NARRAWALLEE NSW... 
  *D25/452751 Plans - Notification - 13 Aries Place NARRAWA... 
  *D25/452755 Report - Statement of Environmental Effects -... 
  *D25/452748 Plans - Colours and Finishes - 13 Aries Place... 
DA25/2272 S F Prior - PAN-579534 - 13 Aries Place NARRA...
DA25/2272/5 Inspections - S F Prior - PAN-579534 - 13 Ari...
DA25/2272/6 Determination - S F Prior - PAN-579534 - 13 A...
  *D25/559322 Approved Plans (external) - DA2025 2272 - Arc... 
  *D25/559284 Determination - DA2025 2272 - 13 Aries Place ... 
DA25/2272/4 Assessment - S F Prior - PAN-579534 - 13 Arie...
DA25/2272/7 Post Determination - S F Prior - PAN-579534 -...
DA25/2272/3 Referrals - S F Prior - PAN-579534 - 13 Aries...
DA25/2272/2 Notification / Submissions - S F Prior - PAN-...
DA25/2272/8 Connected Documents - S F Prior - PAN-579534 ...",Not required
DA25/2244,https://www3.shoalhaven.nsw.gov.au/masterviewUI/modules/ApplicationMaster/default.aspx?page=wrapper&key=735173&propkey=119130, Garage and extension to existing driveway, 13/10/2025,Approved on 28/10/2025,Development Application,"13 Jervis St, TOMERONG",Independent DA Planning Hospitality Construction Solutions Group Pty Ltd,"['Actioned|Description|Date Sent|Date Due|Date Rec.|Status', '03/10/2025|Development Application Received|2025-10-03||2025-10-03|Past']",$356,"DA25/2244 Independent DA Planning Hospitality Construct...
DA25/2244/2 Notification / Submissions - Independent DA P...
DA25/2244/1 Application - Independent DA Planning Hospita...
  *D25/452692 Forms - Waste Management - 13 Jervis Street T... 
  *D25/452696 Plans - Material and waste storage - 13 Jervi... 
  *D25/452706 Report - Vegitation Retention - 13 Jervis Str... 
  *D25/452697 Plans - Notification - 13 Jervis Street TOME... 
  *D25/452699 Plans - Biodiversity Offset Scheme - 13 Jervi... 
  *D25/452701 Report - Bushfire Assessment - 13 Jervis Stre... 
  *D25/452698 Plans - Site - V2 - Uploaded 09/10/25 - 13 Je... 
  *D25/452703 Report - Statement Of Enviromental Effects - ... 
DA25/2244/7 Post Determination - Independent DA Planning ...
DA25/2244/6 Determination - Independent DA Planning Hospi...
  *D25/510141 Notice of Determination Approval - Alteration... 
  *D25/510630 Approved Plans - DA2025/2244 - 13 Jervis St T... 
DA25/2244/4 Assessment - Independent DA Planning Hospital...
DA25/2244/5 Inspections - Independent DA Planning Hospita...
DA25/2244/8 Connected Documents - Independent DA Planning...
DA25/2244/3 Referrals - Independent DA Planning Hospitali...",Not required
